lat,cdf
4.35,8.5039784162225e-08
4.4,1.7007956832445e-07
4.437,3.401591366489e-07
4.525,4.2519892081112e-07
4.563,5.1023870497335e-07
4.587,5.9527848913557e-07
4.65,9.3543762578447e-07
4.662,1.0204774099467e-06
4.7,1.1055171941089e-06
4.712,1.1905569782711e-06
4.775,1.2755967624334e-06
4.8,1.4456763307578e-06
4.813,1.53071611492e-06
4.825,1.8708752515689e-06
4.838,1.9559150357312e-06
4.913,2.0409548198934e-06
4.925,2.636233309029e-06
4.937,2.8063128773534e-06
4.938,2.9763924456779e-06
4.95,3.401591366489e-06
4.963,3.5716709348134e-06
4.988,3.7417505031379e-06
5,4.0819096397868e-06
5.012,4.2519892081112e-06
5.025,4.4220687764357e-06
5.05,4.5071085605979e-06
5.075,4.8472676972468e-06
5.1,5.1023870497335e-06
5.112,5.1874268338957e-06
5.125,5.2724666180579e-06
5.138,5.4425461863824e-06
5.15,5.5275859705446e-06
5.175,5.697665538869e-06
5.2,6.1228644596802e-06
5.212,6.3779838121668e-06
5.213,6.5480633804913e-06
5.225,6.8882225171402e-06
5.237,7.0583020854646e-06
5.262,7.2283816537891e-06
5.263,7.4835010062758e-06
5.275,7.7386203587624e-06
5.3,7.9086999270869e-06
5.312,8.0787794954113e-06
5.313,8.333898847898e-06
5.325,8.5890182003847e-06
5.337,8.6740579845469e-06
5.35,9.1842966895203e-06
5.362,9.5244558261692e-06
5.363,9.6094956103314e-06
5.375,9.9496547469803e-06
5.388,1.0034694531143e-05
5.4,1.0204774099467e-05
5.412,1.0289813883629e-05
5.413,1.0374853667791e-05
5.425,1.0459893451954e-05
5.437,1.071501280444e-05
5.438,1.0885092372765e-05
5.45,1.1055171941089e-05
5.475,1.1395331077738e-05
5.487,1.1565410646063e-05
5.488,1.1820529998549e-05
5.5,1.1990609566874e-05
5.525,1.2160689135198e-05
5.537,1.2330768703523e-05
5.538,1.2585888056009e-05
5.55,1.2670927840171e-05
5.562,1.2755967624334e-05
5.563,1.2926047192658e-05
5.575,1.3351246113469e-05
5.587,1.3691405250118e-05
5.588,1.377644503428e-05
5.6,1.4286683739254e-05
5.612,1.4371723523416e-05
5.613,1.454180309174e-05
5.625,1.4626842875903e-05
5.637,1.4881962228389e-05
5.638,1.5137081580876e-05
5.65,1.5477240717525e-05
5.662,1.5562280501687e-05
5.663,1.5647320285849e-05
5.675,1.607251920666e-05
5.687,1.6327638559147e-05
5.688,1.6412678343309e-05
5.7,1.6752837479958e-05
5.712,1.683787726412e-05
5.713,1.6922917048283e-05
5.737,1.7092996616607e-05
5.738,1.7263076184932e-05
5.75,1.7518195537418e-05
5.763,1.760323532158e-05
5.775,1.7688275105743e-05
5.787,1.7773314889905e-05
5.788,1.7858354674067e-05
5.8,1.8198513810716e-05
5.812,1.8368593379041e-05
5.825,1.8793792299852e-05
5.837,1.9048911652338e-05
5.838,1.9389070788987e-05
5.85,1.9899309493961e-05
5.863,2.0069389062285e-05
5.875,2.0409548198934e-05
5.887,2.0749707335583e-05
5.888,2.0834747119745e-05
5.9,2.1259946040556e-05
5.913,2.1344985824718e-05
5.925,2.1515065393043e-05
5.937,2.1600105177205e-05
5.938,2.1855224529692e-05
5.95,2.2195383666341e-05
5.962,2.253554280299e-05
5.963,2.2705622371314e-05
5.975,2.3130821292125e-05
5.987,2.3215861076287e-05
5.988,2.330090086045e-05
6.012,2.3470980428774e-05
6.013,2.3641059997098e-05
6.025,2.3726099781261e-05
6.038,2.3981219133747e-05
6.05,2.4576497622883e-05
6.063,2.4746577191207e-05
6.075,2.5001696543694e-05
6.087,2.5171776112018e-05
6.088,2.5511935248667e-05
6.1,2.5682014816992e-05
6.112,2.6022173953641e-05
6.113,2.6277293306127e-05
6.125,2.6532412658614e-05
6.137,2.6702492226939e-05
6.138,2.6957611579425e-05
6.15,2.7382810500236e-05
6.162,2.7467850284399e-05
6.163,2.7552890068561e-05
6.175,2.789304920521e-05
6.187,2.7978088989372e-05
6.2,2.8233208341859e-05
6.225,2.865840726267e-05
6.237,2.8743447046832e-05
6.238,2.8913526615156e-05
6.25,2.9253685751805e-05
6.262,2.9338725535967e-05
6.263,2.942376532013e-05
6.275,2.9593844888454e-05
6.287,2.9678884672616e-05
6.288,2.9763924456779e-05
6.3,3.0104083593428e-05
6.312,3.0529282514239e-05
6.313,3.0784401866725e-05
6.325,3.095448143505e-05
6.337,3.1124561003374e-05
6.35,3.1634799708348e-05
6.362,3.171983949251e-05
6.363,3.1889919060834e-05
6.375,3.2400157765808e-05
6.4,3.2740316902456e-05
6.412,3.3080476039105e-05
6.413,3.3165515823268e-05
6.425,3.3420635175754e-05
6.438,3.3505674959916e-05
6.45,3.3675754528241e-05
6.462,3.3845834096565e-05
6.463,3.401591366489e-05
6.488,3.4271033017377e-05
6.512,3.4441112585701e-05
6.513,3.4526152369863e-05
6.525,3.4611192154025e-05
6.537,3.478127172235e-05
6.538,3.4866311506512e-05
6.55,3.5121430858999e-05
6.562,3.5291510427323e-05
6.563,3.5631669563972e-05
6.575,3.5971828700621e-05
6.587,3.6141908268945e-05
6.588,3.6482067405594e-05
6.6,3.6737186758081e-05
6.612,3.6822226542243e-05
6.613,3.6992306110568e-05
6.625,3.7162385678892e-05
6.637,3.7332465247217e-05
6.638,3.7502544815541e-05
6.662,3.7672624383866e-05
6.663,3.784270395219e-05
6.675,3.8012783520514e-05
6.687,3.8267902873001e-05
6.688,3.8437982441326e-05
6.7,3.860806200965e-05
6.713,3.8693101793812e-05
6.737,3.8778141577974e-05
6.762,3.8863181362137e-05
6.787,3.8948221146299e-05
6.788,3.9033260930461e-05
6.813,3.9118300714623e-05
6.825,3.9288380282948e-05
6.837,3.9628539419597e-05
6.838,3.9798618987921e-05
6.85,4.0223817908732e-05
6.862,4.0393897477057e-05
6.863,4.0649016829543e-05
6.875,4.0819096397868e-05
6.887,4.090413618203e-05
6.888,4.0989175966192e-05
6.9,4.1244295318679e-05
6.912,4.1414374887003e-05
6.938,4.1499414671166e-05
6.95,4.1584454455328e-05
6.962,4.1754534023652e-05
6.963,4.1924613591977e-05
6.975,4.2179732944463e-05
7,4.2519892081112e-05
7.013,4.2604931865275e-05
7.025,4.2689971649437e-05
7.038,4.2775011433599e-05
7.05,4.3030130786086e-05
7.062,4.3115170570248e-05
7.075,4.320021035441e-05
7.087,4.3285250138572e-05
7.088,4.3370289922735e-05
7.1,4.3795488843546e-05
7.112,4.4050608196032e-05
7.113,4.4390767332681e-05
7.125,4.4560846901006e-05
7.138,4.473092646933e-05
7.15,4.4815966253492e-05
7.175,4.4901006037655e-05
7.187,4.4986045821817e-05
7.188,4.5071085605979e-05
7.2,4.5241165174303e-05
7.212,4.549628452679e-05
7.225,4.6006523231764e-05
7.237,4.6091563015926e-05
7.238,4.6176602800088e-05
7.263,4.626164258425e-05
7.275,4.6516761936737e-05
7.287,4.6601801720899e-05
7.288,4.6686841505061e-05
7.3,4.6771881289224e-05
7.312,4.6856921073386e-05
7.313,4.6941960857548e-05
7.325,4.702700064171e-05
7.337,4.7112040425872e-05
7.338,4.7197080210035e-05
7.362,4.7282119994197e-05
7.363,4.7367159778359e-05
7.375,4.8047478051657e-05
7.387,4.8217557619981e-05
7.388,4.855771675663e-05
7.4,4.8642756540792e-05
7.425,4.8727796324955e-05
7.437,4.8812836109117e-05
7.438,4.8897875893279e-05
7.45,4.9152995245766e-05
7.475,4.9408114598253e-05
7.487,4.9748273734901e-05
7.488,5.0003393087388e-05
7.5,5.008843287155e-05
7.537,5.0173472655713e-05
7.538,5.0258512439875e-05
7.55,5.0513631792361e-05
7.562,5.0598671576524e-05
7.563,5.0683711360686e-05
7.575,5.0938830713173e-05
7.587,5.1108910281497e-05
7.588,5.1278989849821e-05
7.612,5.1364029633984e-05
7.625,5.1534109202308e-05
7.637,5.1704188770633e-05
7.638,5.1874268338957e-05
7.65,5.2129387691444e-05
7.662,5.2214427475606e-05
7.663,5.2299467259768e-05
7.687,5.2469546828093e-05
7.688,5.2639626396417e-05
7.712,5.2724666180579e-05
7.713,5.2809705964741e-05
7.725,5.2979785533066e-05
7.737,5.3064825317228e-05
7.738,5.3234904885553e-05
7.75,5.3660103806364e-05
7.762,5.4000262943013e-05
7.763,5.4170342511337e-05
7.775,5.4510501647986e-05
7.787,5.4595541432148e-05
7.788,5.468058121631e-05
7.8,5.4765621000473e-05
7.812,5.4935700568797e-05
7.813,5.5275859705446e-05
7.825,5.5530979057933e-05
7.838,5.5701058626257e-05
7.85,5.6466416683717e-05
7.862,5.6551456467879e-05
7.863,5.6636496252042e-05
7.875,5.6806575820366e-05
7.887,5.6891615604528e-05
7.888,5.697665538869e-05
7.9,5.7061695172853e-05
7.912,5.7231774741177e-05
7.913,5.7316814525339e-05
7.95,5.7571933877826e-05
7.963,5.7656973661988e-05
7.987,5.7742013446151e-05
7.988,5.7827053230313e-05
8,5.8167212366962e-05
8.012,5.8592411287773e-05
8.013,5.8847530640259e-05
8.025,5.9442809129395e-05
8.037,5.9697928481882e-05
8.038,5.9953047834368e-05
8.05,6.0463286539342e-05
8.063,6.0548326323504e-05
8.075,6.1058565028477e-05
8.087,6.1313684380964e-05
8.088,6.19089628701e-05
8.1,6.2504241359235e-05
8.112,6.2929440280046e-05
8.113,6.3269599416695e-05
8.125,6.3864877905831e-05
8.137,6.420503704248e-05
8.138,6.4290076826642e-05
8.15,6.4545196179128e-05
8.162,6.4630235963291e-05
8.163,6.4715275747453e-05
8.187,6.4800315531615e-05
