lat,cdf
4.275,1.3022915643283e-07
4.337,2.6045831286565e-07
4.425,3.9068746929848e-07
4.437,6.5114578216413e-07
4.574,7.8137493859695e-07
4.575,9.1160409502978e-07
4.674,1.0418332514626e-06
4.675,1.1720624078954e-06
4.787,1.3022915643283e-06
4.8,1.4325207207611e-06
4.9,1.5627498771939e-06
4.912,1.6929790336267e-06
5.599,2.0836665029252e-06
5.6,2.3441248157909e-06
5.612,2.4743539722237e-06
5.637,2.6045831286565e-06
5.649,2.7348122850893e-06
5.787,3.3859580672535e-06
5.799,3.5161872236863e-06
5.8,3.6464163801191e-06
5.95,3.7766455365519e-06
5.962,4.5580204751489e-06
5.974,4.8184787880145e-06
5.975,4.9487079444474e-06
5.987,5.7300828830443e-06
5.999,6.1207703523428e-06
6,6.6416869780741e-06
6.012,7.8137493859695e-06
6.112,8.4648951681337e-06
6.137,8.5951243245665e-06
6.15,8.7253534809993e-06
6.162,9.3764992631634e-06
6.174,9.5067284195963e-06
6.175,9.7671867324619e-06
6.187,9.8974158888947e-06
6.337,1.0678790827492e-05
6.349,1.0809019983925e-05
6.35,1.106947829679e-05
6.362,1.1329936609656e-05
6.449,1.1460165766089e-05
6.45,1.1590394922521e-05
6.475,1.1850853235387e-05
6.487,1.2111311548253e-05
6.537,1.3022915643283e-05
6.612,1.3283373956148e-05
6.624,1.3804290581879e-05
6.625,1.4325207207611e-05
6.649,1.4976352989775e-05
6.65,1.5627498771939e-05
6.662,1.5887957084805e-05
6.699,1.6018186241238e-05
6.7,1.614841539767e-05
6.724,1.6278644554103e-05
6.737,1.6408873710536e-05
6.774,1.6539102866969e-05
6.775,1.6669332023402e-05
6.8,1.6799561179834e-05
6.812,1.7711165274864e-05
6.825,1.7841394431297e-05
6.837,1.8101852744163e-05
6.887,1.8362311057028e-05
6.912,1.8622769369894e-05
6.974,1.8752998526327e-05
6.975,1.888322768276e-05
7.012,1.9143685995625e-05
7.024,1.9404144308491e-05
7.025,1.9664602621357e-05
7.062,1.9925060934222e-05
7.174,2.0055290090655e-05
7.175,2.0185519247088e-05
7.199,2.0315748403521e-05
7.2,2.0445977559954e-05
7.224,2.0576206716386e-05
7.225,2.0706435872819e-05
7.249,2.0966894185685e-05
7.262,2.1097123342118e-05
7.274,2.1227352498551e-05
7.275,2.1487810811416e-05
7.362,2.1618039967849e-05
7.375,2.1748269124282e-05
7.412,2.2659873219312e-05
7.424,2.305056068861e-05
7.425,2.3441248157909e-05
7.437,2.3701706470774e-05
7.462,2.3831935627207e-05
7.474,2.396216478364e-05
7.487,2.4092393940073e-05
7.5,2.4222623096506e-05
7.512,2.4613310565804e-05
7.537,2.4743539722237e-05
7.549,2.487376887867e-05
7.55,2.5003998035102e-05
7.587,2.5134227191535e-05
7.725,2.5394685504401e-05
7.75,2.5524914660834e-05
7.762,2.5915602130132e-05
7.774,2.6045831286565e-05
7.775,2.6176060442998e-05
7.812,2.6436518755864e-05
7.837,2.6566747912296e-05
7.85,2.6696977068729e-05
7.862,2.6827206225162e-05
7.874,2.7348122850893e-05
7.875,2.7738810320192e-05
7.887,2.8259726945923e-05
7.899,2.8780643571654e-05
7.9,2.9171331040953e-05
7.912,2.9301560197386e-05
7.999,3.0473622605281e-05
8,3.1385226700311e-05
8.012,3.2296830795341e-05
8.024,3.2427059951774e-05
8.025,3.2687518264639e-05
8.037,3.2947976577505e-05
8.074,3.3078205733938e-05
8.075,3.320843489037e-05
8.1,3.3338664046803e-05
8.112,3.3599122359669e-05
8.149,3.3729351516102e-05
8.212,3.3989809828967e-05
8.287,3.4510726454699e-05
8.312,3.4771184767564e-05
8.324,3.4901413923997e-05
8.337,3.594324717546e-05
8.349,3.6073476331893e-05
8.374,3.6203705488325e-05
8.375,3.6333934644758e-05
8.424,3.6464163801191e-05
8.425,3.6594392957624e-05
8.437,3.685485127049e-05
8.537,3.7245538739788e-05
8.549,3.7375767896221e-05
8.55,3.7505997052654e-05
8.562,3.7636226209087e-05
8.612,3.7766455365519e-05
8.624,3.7896684521952e-05
8.637,3.9850121868445e-05
8.649,4.0501267650609e-05
8.65,4.0891955119907e-05
8.662,4.1152413432773e-05
8.699,4.1282642589206e-05
8.712,4.1412871745638e-05
8.724,4.1543100902071e-05
8.725,4.1673330058504e-05
8.812,4.193378837137e-05
8.824,4.2324475840668e-05
8.825,4.2715163309967e-05
8.837,4.2975621622832e-05
8.912,4.3496538248564e-05
8.924,4.4798829812892e-05
8.925,4.610112137722e-05
8.937,4.6752267159384e-05
8.974,4.8054558723713e-05
8.975,4.9356850288041e-05
8.987,5.0268454383071e-05
9.012,5.0398683539503e-05
9.049,5.0528912695936e-05
9.05,5.0659141852369e-05
9.074,5.0919600165235e-05
9.075,5.11800584781e-05
9.087,5.1310287634533e-05
9.099,5.1570745947399e-05
9.174,5.2221891729563e-05
9.175,5.300326666816e-05
9.187,5.4435787388921e-05
9.199,5.5217162327518e-05
9.2,5.6128766422548e-05
9.212,5.7821745456175e-05
9.224,5.7951974612607e-05
9.225,5.808220376904e-05
9.237,5.8342662081906e-05
9.287,5.8603120394771e-05
9.337,5.899380786407e-05
9.349,5.9124037020503e-05
9.35,5.9254266176936e-05
9.362,5.9384495333368e-05
9.387,5.9514724489801e-05
9.425,5.9644953646234e-05
9.437,5.9775182802667e-05
9.474,5.99054119591e-05
9.475,6.0035641115533e-05
9.499,6.0165870271965e-05
9.5,6.0296099428398e-05
9.512,6.0556557741264e-05
9.524,6.0686786897697e-05
9.612,6.1077474366995e-05
9.624,6.1337932679861e-05
9.649,6.1468161836294e-05
9.662,6.1728620149159e-05
9.675,6.1858849305592e-05
9.749,6.2119307618458e-05
9.75,6.2509995087756e-05
9.762,6.2770453400622e-05
9.787,6.3030911713488e-05
9.862,6.3291370026353e-05
9.874,6.3421599182786e-05
9.887,6.3812286652084e-05
9.949,6.5635494842144e-05
9.95,6.7458703032204e-05
9.962,6.7979619657935e-05
9.999,6.8109848814368e-05
10,6.8240077970801e-05
10.024,6.9802827847994e-05
10.025,7.1495806881621e-05
10.037,7.2146952663785e-05
10.049,7.2277181820218e-05
10.05,7.2407410976651e-05
10.062,7.2667869289517e-05
10.075,7.2798098445949e-05
10.137,7.3188785915248e-05
10.149,7.3839931697412e-05
10.15,7.4621306636009e-05
10.162,7.7356118921098e-05
10.237,7.7486348077531e-05
10.274,7.7616577233964e-05
10.275,7.7746806390397e-05
10.287,7.8267723016128e-05
10.299,7.8658410485427e-05
10.3,7.9049097954725e-05
10.312,7.9309556267591e-05
10.362,7.9570014580456e-05
10.374,7.9830472893322e-05
10.375,8.022116036262e-05
10.387,8.0351389519053e-05
10.399,8.0481618675486e-05
10.4,8.0611847831919e-05
10.412,8.0742076988352e-05
10.424,8.2174597709113e-05
10.425,8.3476889273441e-05
10.437,8.386757674274e-05
10.462,8.3997805899172e-05
10.537,8.4258264212038e-05
10.562,8.4518722524904e-05
10.574,8.4648951681337e-05
10.575,8.4779180837769e-05
10.612,8.4909409994202e-05
10.624,8.5560555776366e-05
10.625,8.6341930714963e-05
10.637,8.6732618184262e-05
10.687,8.6862847340695e-05
10.7,8.6993076497127e-05
10.799,8.712330565356e-05
10.812,8.7513993122859e-05
10.924,8.7644222279292e-05
10.949,8.7774451435724e-05
10.962,8.7904680592157e-05
11.087,8.8165138905023e-05
11.099,8.8295368061456e-05
11.1,8.8425597217888e-05
11.199,8.894651384362e-05
11.2,8.9467430469351e-05
11.212,9.1681326128709e-05
11.225,9.1811555285142e-05
11.324,9.2853388536605e-05
11.325,9.3895221788067e-05
11.337,9.4806825883097e-05
11.349,9.5327742508828e-05
11.35,9.5718429978127e-05
11.362,9.6760263229589e-05
11.399,9.7671867324619e-05
11.4,9.8583471419649e-05
11.412,9.9755533827544e-05
11.474,0.00010027645045328
11.475,0.00010066713792257
11.487,0.0001031414918948
11.499,0.00010379263767696
11.5,0.00010457401261556
11.512,0.00010522515839772
11.599,0.00010535538755416
11.612,0.00010548561671059
11.624,0.00010574607502345
11.625,0.00010587630417989
11.649,0.00010600653333632
11.65,0.00010613676249275
11.662,0.00010769951236995
11.699,0.00010782974152638
11.712,0.00011121569959363
11.724,0.00011173661621936
11.725,0.00011238776200153
11.737,0.00011264822031439
11.762,0.00011290867862726
11.787,0.00011668532416381
11.799,0.00011694578247668
11.8,0.00011720624078954
11.825,0.00011733646994598
11.849,0.00011798761572814
11.85,0.00011876899066674
11.862,0.00011928990729247
11.874,0.0001194201364489
11.875,0.00011955036560533
11.949,0.0001198108239182
11.95,0.00012007128223107
11.962,0.0001205921988568
11.974,0.00012228517789042
11.975,0.00012384792776762
11.987,0.00012528044848838
11.999,0.00012541067764481
12.024,0.00012606182342698
12.025,0.000126973427522
12.037,0.00013218259377932
12.087,0.00013257328124862
12.099,0.00013387557281294
12.1,0.00013556855184657
12.112,0.000135698781003
12.124,0.00013582901015944
12.125,0.00013595923931587
12.149,0.0001360894684723
12.15,0.00013621969762874
12.224,0.00013634992678517
12.225,0.0001364801559416
12.262,0.00013674061425447
12.299,0.0001368708434109
12.3,0.00013700107256733
12.375,0.00013713130172377
12.399,0.0001372615308802
12.525,0.00013739176003663
12.537,0.0001376522183495
12.562,0.00013791267666236
12.687,0.00013804290581879
12.699,0.00013817313497523
12.7,0.00013830336413166
12.762,0.00013882428075739
12.799,0.00013921496822669
12.8,0.00013960565569599
12.812,0.00013986611400885
12.824,0.00013999634316529
12.825,0.00014012657232172
12.987,0.00014025680147815
12.999,0.00014038703063459
13,0.00014051725979102
13.012,0.00014064748894745
13.049,0.00014077771810388
13.05,0.00014090794726032
13.087,0.00014116840557318
13.125,0.00014142886388605
13.174,0.00014247069713751
13.175,0.00014338230123254
13.187,0.00014546596773547
13.212,0.00014585665520476
13.224,0.00014702871761266
13.225,0.00014833100917699
13.237,0.00014885192580272
13.312,0.00014911238411559
13.587,0.00014937284242845
13.849,0.00014950307158488
13.85,0.00014963330074132
13.937,0.00014989375905418
14.112,0.00015015421736705
14.124,0.00015028444652348
14.137,0.00015041467567991
14.199,0.00015054490483635
14.2,0.00015067513399278
14.275,0.00015080536314921
14.287,0.00015093559230564
14.374,0.00015106582146208
14.375,0.00015119605061851
14.474,0.00015132627977494
14.475,0.00015145650893138
14.537,0.00015158673808781
14.587,0.00015184719640067
14.65,0.00015197742555711
14.662,0.00015223788386997
14.7,0.00015236811302641
14.787,0.00015249834218284
14.8,0.00015262857133927
14.849,0.0001527588004957
14.85,0.00015288902965214
14.899,0.00015301925880857
14.924,0.000153149487965
14.925,0.00015327971712144
15.049,0.00015484246699863
15.05,0.00015640521687582
15.062,0.00015953071663021
15.112,0.00015979117494308
15.137,0.00016369804963606
15.149,0.00016487011204396
15.15,0.00016617240360829
15.187,0.00016643286192115
15.299,0.00016656309107758
15.399,0.00016695377854688
15.4,0.00016721423685975
15.449,0.00016734446601618
15.45,0.00016747469517261
15.562,0.00016773515348548
15.724,0.00016786538264191
15.725,0.00016799561179834
15.787,0.00016812584095478
15.825,0.00016825607011121
15.899,0.00016838629926764
15.9,0.00016851652842408
15.987,0.00016877698673694
16.049,0.00016890721589337
16.062,0.00016903744504981
16.125,0.00016916767420624
16.162,0.00016929790336267
16.387,0.00016955836167554
16.625,0.00016968859083197
16.637,0.00016994904914484
17.037,0.0001702095074577
17.187,0.00017633027781005
17.349,0.00017646050696648
17.374,0.00017659073612291
17.375,0.00017672096527934
17.387,0.00017698142359221
17.462,0.00017711165274864
17.474,0.00017724188190508
17.487,0.00017750234021794
17.549,0.00017880463178227
17.55,0.00018023715250303
17.562,0.00018323242310099
17.687,0.00018388356888315
