lat,cdf
4.893,1.1239477179984e-07
4.894,3.3718431539951e-07
15.756,5.2825542745923e-06
15.768,6.181712448991e-06
15.769,7.1932653951896e-06
15.943,7.3056601669894e-06
15.956,7.4180549387892e-06
16.081,8.0924235695883e-06
16.093,1.0565108549185e-05
16.094,1.3037793528781e-05
16.106,1.359976738778e-05
16.481,1.393695170318e-05
16.493,1.404934647498e-05
17.094,1.4161741246779e-05
19.493,1.4274136018579e-05
19.494,1.4386530790379e-05
19.543,1.6297241910976e-05
19.544,1.8207953031574e-05
19.556,2.056824323937e-05
19.606,2.068063801117e-05
19.618,2.079303278297e-05
19.619,2.090542755477e-05
20.044,2.101782232657e-05
20.118,2.1130217098369e-05
20.119,2.1242611870169e-05
23.731,2.1467401413769e-05
23.856,2.4726849795964e-05
23.868,2.6412771372962e-05
23.869,2.8098692949959e-05
23.944,2.8211087721759e-05
23.994,2.8323482493559e-05
27.556,2.8435877265359e-05
27.594,2.8548272037159e-05
27.606,2.8660666808958e-05
27.618,2.8885456352558e-05
27.619,2.8997851124358e-05
27.631,3.0346588385956e-05
27.643,3.2257299506553e-05
27.644,3.428040539895e-05
27.656,3.5179563573349e-05
27.943,3.5291958345149e-05
27.956,3.5404353116949e-05
28.143,3.5516747888749e-05
28.156,3.5629142660548e-05
28.243,3.5741537432348e-05
28.244,3.5853932204148e-05
28.418,3.5966326975948e-05
28.419,3.6078721747748e-05
28.668,3.6191116519548e-05
28.669,3.6303511291347e-05
28.943,3.6415906063147e-05
28.956,3.6528300834947e-05
29.219,3.6753090378547e-05
29.481,3.6977879922146e-05
29.744,3.7090274693946e-05
29.756,3.7202669465746e-05
30.019,3.7315064237546e-05
30.031,3.7427459009346e-05
30.143,3.7539853781146e-05
30.356,3.7764643324745e-05
30.668,3.7989432868345e-05
30.943,3.8101827640145e-05
30.944,3.8214222411945e-05
31.193,3.8326617183744e-05
31.206,3.8439011955544e-05
31.468,3.8551406727344e-05
31.469,3.8663801499144e-05
31.731,3.8888591042744e-05
32.006,3.9113380586343e-05
32.268,3.9225775358143e-05
32.269,3.9338170129943e-05
32.531,3.9562959673543e-05
32.793,3.9675354445342e-05
32.806,3.9787749217142e-05
33.081,4.0012538760742e-05
33.331,4.0237328304342e-05
33.593,4.0349723076141e-05
33.594,4.0462117847941e-05
33.843,4.0574512619741e-05
33.856,4.0686907391541e-05
34.131,4.0911696935141e-05
34.256,4.2035644653139e-05
34.268,4.2260434196739e-05
34.269,4.2372828968539e-05
34.281,4.2485223740338e-05
34.293,4.3047197599338e-05
34.294,4.3609171458337e-05
34.306,4.3721566230137e-05
36.856,4.3833961001936e-05
36.868,4.3946355773736e-05
37.119,4.4058750545536e-05
37.131,4.4171145317336e-05
37.219,4.4283540089136e-05
37.318,4.5295093035334e-05
37.319,4.6194251209733e-05
37.331,4.6868619840532e-05
37.393,4.6981014612332e-05
37.394,4.7093409384132e-05
37.406,5.0577647309927e-05
37.418,5.1027226397126e-05
37.419,5.1476805484325e-05
37.656,5.1589200256125e-05
37.668,5.1701595027925e-05
37.931,5.1813989799725e-05
37.944,5.1926384571525e-05
38.193,5.2038779343325e-05
