lat,cdf
46.049,2.2669770853503e-07
46.05,4.5339541707006e-07
46.062,4.9873495877706e-07
46.174,5.2140472963056e-07
46.187,5.8941404219107e-07
47.062,6.5742335475158e-07
47.074,6.8009312560508e-07
47.075,7.0276289645859e-07
47.124,7.2543266731209e-07
47.537,1.2241676260892e-06
47.549,1.3375164803567e-06
47.55,1.4508653346242e-06
47.762,1.4962048763312e-06
47.774,1.6095537305987e-06
47.775,1.7229025848662e-06
47.912,1.7455723557197e-06
48,1.7682421265732e-06
48.024,1.8135816682802e-06
48.025,1.8362514391337e-06
48.087,1.8589212099872e-06
48.1,1.8815909808407e-06
48.112,1.9722700642547e-06
48.162,2.0176096059618e-06
48.175,2.0402793768153e-06
48.199,2.1762980019363e-06
48.2,2.2896468562038e-06
48.212,2.6750329607133e-06
48.249,2.9017306692484e-06
48.25,3.1510981486369e-06
48.262,3.2644470029044e-06
48.274,3.2871167737579e-06
48.312,3.3551260863184e-06
48.324,3.5818237948534e-06
48.325,3.8085215033885e-06
48.337,4.0352192119235e-06
48.349,4.057888982777e-06
48.35,4.0805587536305e-06
48.362,4.5112843998471e-06
48.374,4.6699727958216e-06
48.375,4.8059914209426e-06
48.4,4.8286611917961e-06
48.412,5.0553589003311e-06
48.424,5.1233682128916e-06
48.425,5.1687077545986e-06
48.437,5.2367170671592e-06
48.449,5.2593868380127e-06
48.45,5.3047263797197e-06
48.462,5.4634147756942e-06
48.475,5.4860845465477e-06
48.524,5.5087543174012e-06
48.525,5.5540938591082e-06
48.537,5.5767636299617e-06
48.549,5.5994334008152e-06
48.562,5.6221031716687e-06
48.587,5.6447729425222e-06
48.599,5.6901124842292e-06
48.6,5.7807915676432e-06
48.612,5.8034613384967e-06
48.624,5.8941404219107e-06
48.625,5.9621497344712e-06
48.637,6.0754985887388e-06
48.65,6.1208381304458e-06
48.662,6.3248660681273e-06
48.674,6.5742335475158e-06
48.675,6.8009312560508e-06
48.687,6.9822894228789e-06
48.699,7.0049591937324e-06
48.7,7.0502987354394e-06
48.712,7.0729685062929e-06
48.724,7.1863173605604e-06
48.725,7.2769964439744e-06
48.737,7.3223359856814e-06
48.787,7.7757314027515e-06
48.812,8.4558245283566e-06
48.849,8.5238338409171e-06
48.85,8.5918431534776e-06
48.862,8.7958710911591e-06
48.874,9.0225687996941e-06
48.875,9.2265967373756e-06
48.887,9.6119828418852e-06
48.912,9.7026619252992e-06
48.924,1.0201396884076e-05
48.925,1.0654792301146e-05
48.937,1.0881490009681e-05
48.949,1.0904159780535e-05
48.962,1.1040178405656e-05
48.974,1.1380224968458e-05
48.975,1.1720271531261e-05
48.987,1.1924299468942e-05
48.999,1.1969639010649e-05
49.012,1.2264346031745e-05
49.024,1.2559053052841e-05
49.025,1.2831090303083e-05
49.037,1.3488513657834e-05
49.049,1.3624532282955e-05
49.05,1.378322067893e-05
49.062,1.4032588158318e-05
49.087,1.4667341742216e-05
49.099,1.4916709221605e-05
49.1,1.514340693014e-05
49.124,1.5188746471847e-05
49.125,1.52114162427e-05
49.137,1.5823500055745e-05
49.149,1.5868839597452e-05
49.15,1.5959518680866e-05
49.162,1.6458253639643e-05
49.174,1.6548932723057e-05
49.175,1.6639611806471e-05
49.187,1.6684951348178e-05
49.199,1.6798300202446e-05
49.2,1.688897928586e-05
49.212,1.6934318827567e-05
49.224,1.695698859842e-05
49.225,1.7002328140127e-05
49.237,1.7591742182318e-05
49.287,1.8067807370242e-05
49.299,1.8521202787312e-05
49.3,1.8974598204382e-05
49.312,1.9359984308891e-05
49.324,1.9541342475719e-05
49.325,1.9745370413401e-05
49.337,2.0108086747057e-05
49.349,2.0198765830471e-05
49.35,2.0312114684739e-05
49.362,2.0402793768153e-05
49.374,2.0493472851567e-05
49.375,2.0538812393274e-05
49.387,2.0561482164127e-05
49.399,2.0652161247541e-05
49.4,2.0788179872662e-05
49.412,2.1400263685707e-05
49.424,2.1558952081681e-05
49.425,2.1717640477656e-05
49.437,2.2239045207286e-05
49.449,2.2465742915821e-05
49.45,2.2737780166063e-05
49.462,2.2828459249477e-05
49.487,2.3304524437401e-05
49.499,2.3735250083617e-05
49.5,2.4165975729834e-05
49.512,2.4687380459465e-05
49.524,2.5072766563974e-05
49.525,2.5480822439337e-05
49.537,2.6954357544815e-05
49.549,2.7543771587006e-05
49.55,2.8178525170904e-05
49.562,2.8609250817121e-05
49.574,2.8858618296509e-05
49.575,2.9107985775898e-05
49.587,3.0196134776866e-05
49.599,3.0377492943694e-05
49.6,3.0626860423082e-05
49.612,3.0717539506496e-05
49.624,3.1284283777834e-05
49.625,3.1873697820025e-05
49.637,3.2757818883312e-05
49.65,3.2780488654165e-05
49.662,3.3075195675261e-05
49.675,3.3097865446114e-05
49.699,3.3211214300382e-05
49.7,3.3256553842089e-05
49.712,3.384596788428e-05
49.724,3.3891307425987e-05
49.725,3.391397719684e-05
49.75,3.3936646967694e-05
49.774,3.4254023759643e-05
49.775,3.4571400551592e-05
49.787,3.5568870469146e-05
49.799,3.5863577490241e-05
49.8,3.6203624053044e-05
49.812,3.7450461449987e-05
49.824,3.7745168471082e-05
49.825,3.8039875492178e-05
49.837,3.9060015180585e-05
49.849,3.9377391972534e-05
49.85,3.967209899363e-05
49.862,3.9762778077044e-05
49.874,3.9898796702165e-05
49.875,4.0057485098139e-05
49.887,4.0533550286063e-05
49.899,4.0601559598624e-05
49.912,4.0782917765452e-05
49.924,4.1531020203617e-05
49.925,4.2347131954343e-05
49.937,4.3457950726165e-05
49.949,4.3593969351286e-05
49.95,4.3707318205553e-05
49.974,4.3797997288967e-05
49.975,4.3888676372381e-05
49.987,4.4478090414573e-05
49.999,4.4546099727133e-05
50,4.4614109039694e-05
50.012,4.5248862623592e-05
50.024,4.5362211477859e-05
50.025,4.5475560332127e-05
50.037,4.5747597582369e-05
50.049,4.6064974374318e-05
50.05,4.6359681395413e-05
50.062,4.6835746583337e-05
50.074,4.7357151312967e-05
50.075,4.7901225813451e-05
50.087,4.8354621230522e-05
50.099,4.8399960772229e-05
50.1,4.8422630543082e-05
50.112,4.8762677105885e-05
50.124,4.8876025960152e-05
50.125,4.8966705043566e-05
50.137,4.9012044585273e-05
50.149,4.9624128398318e-05
50.15,5.0168202898802e-05
50.162,5.0938975107821e-05
50.174,5.1392370524891e-05
50.175,5.1800426400254e-05
50.187,5.254852883842e-05
50.199,5.3568668526827e-05
50.2,5.4566138444381e-05
50.212,5.5586278132789e-05
50.225,5.5608947903642e-05
50.237,5.5812975841324e-05
50.249,5.6017003779005e-05
50.25,5.6221031716687e-05
50.262,5.6833115529732e-05
50.274,5.7513208655337e-05
50.275,5.8193301780942e-05
50.287,5.9213441469349e-05
50.299,5.9440139177884e-05
50.3,5.9712176428126e-05
50.312,5.973484619898e-05
50.324,5.9984213678368e-05
50.325,6.0210911386903e-05
50.337,6.0981683595923e-05
50.349,6.1117702221044e-05
50.35,6.1231051075311e-05
50.362,6.1457748783846e-05
50.374,6.1684446492381e-05
50.375,6.193381397177e-05
50.399,6.2704586180789e-05
50.4,6.3520697931515e-05
50.412,6.4246130598827e-05
50.424,6.4722195786751e-05
50.425,6.5266270287235e-05
50.437,6.7079851955515e-05
50.449,6.7623926455999e-05
50.45,6.8190670727336e-05
50.462,6.828134981075e-05
50.474,6.8485377748432e-05
50.475,6.8689405686114e-05
50.487,6.9006782478063e-05
50.512,6.9029452248916e-05
50.524,6.9346829040865e-05
50.525,6.9664205832814e-05
50.537,7.0775024604636e-05
50.549,7.0797694375489e-05
50.55,7.0820364146343e-05
50.562,7.0843033917196e-05
50.574,7.1001722313171e-05
50.575,7.1137740938292e-05
50.587,7.222588993926e-05
50.599,7.2996662148279e-05
50.6,7.3722094815591e-05
50.637,7.3812773899005e-05
50.649,7.4356848399489e-05
50.65,7.4923592670827e-05
50.662,7.5558346254725e-05
50.674,7.5989071900941e-05
50.675,7.6442467318012e-05
50.687,7.6805183651668e-05
50.699,7.7122560443617e-05
50.7,7.7394597693859e-05
50.712,7.7507946548126e-05
50.724,7.7961341965196e-05
50.725,7.843740715312e-05
50.737,7.941220729982e-05
50.749,7.9752253862623e-05
50.75,8.0069630654572e-05
50.762,8.0341667904814e-05
50.774,8.070438423847e-05
50.775,8.1067100572126e-05
50.787,8.1860542551999e-05
50.799,8.2132579802241e-05
50.8,8.2404617052483e-05
50.812,8.2858012469553e-05
50.824,8.3175389261502e-05
50.825,8.342475674089e-05
50.837,8.4014170783081e-05
50.862,8.433154757503e-05
50.874,8.4558245283566e-05
50.875,8.4762273221247e-05
50.887,8.4920961617222e-05
50.899,8.5192998867464e-05
50.9,8.5442366346852e-05
50.912,8.5533045430266e-05
50.924,8.607711993075e-05
50.925,8.6621194431234e-05
50.937,8.7913371369884e-05
50.949,8.8298757474393e-05
50.95,8.8616134266343e-05
50.962,8.9137538995973e-05
50.974,8.9296227391948e-05
50.975,8.9500255329629e-05
50.987,9.0611074101451e-05
50.999,9.0769762497425e-05
51,9.09284508934e-05
51.012,9.274203256168e-05
51.024,9.3739502479234e-05
51.025,9.4759642167642e-05
51.037,9.5643763230928e-05
51.049,9.6029149335438e-05
51.05,9.6391865669094e-05
