lat,cdf
3.999,6.1910937550264e-09
4.137,1.2382187510053e-08
4.187,1.8573281265079e-08
4.212,2.4764375020106e-08
4.224,3.0955468775132e-08
4.237,3.7146562530158e-08
4.249,4.3337656285185e-08
4.25,4.9528750040211e-08
4.262,5.5719843795238e-08
4.275,6.1910937550264e-08
4.287,6.810203130529e-08
4.3,8.0484218815343e-08
4.312,8.667531257037e-08
4.324,9.9057500080422e-08
4.362,1.1143968759048e-07
4.387,1.3001296885555e-07
4.4,1.3620406261058e-07
4.412,1.4239515636561e-07
4.424,1.4858625012063e-07
4.425,1.5477734387566e-07
4.462,1.7335062514074e-07
4.474,1.8573281265079e-07
4.475,1.9192390640582e-07
4.524,2.0430609391587e-07
4.525,2.104971876709e-07
4.537,2.2287937518095e-07
4.549,2.2907046893598e-07
4.6,2.35261562691e-07
4.612,2.6621703146613e-07
4.637,2.8479031273121e-07
4.674,2.9098140648624e-07
4.675,3.0336359399629e-07
4.687,3.2193687526137e-07
4.712,3.4051015652645e-07
4.724,3.528923440365e-07
4.725,3.6527453154656e-07
4.749,3.7146562530158e-07
4.762,3.8384781281164e-07
4.787,3.9003890656666e-07
4.824,3.9623000032169e-07
4.837,4.0242109407672e-07
4.849,4.0861218783174e-07
4.85,4.1480328158677e-07
4.899,4.2099437534179e-07
4.9,4.3337656285185e-07
4.924,4.457587503619e-07
4.925,4.5814093787195e-07
4.937,4.7052312538201e-07
4.949,4.7671421913703e-07
4.95,4.9528750040211e-07
4.962,5.8196281297248e-07
4.974,6.1910937550264e-07
4.975,6.6244703178782e-07
4.987,6.7482921929788e-07
4.999,6.8721140680793e-07
5,6.9959359431798e-07
5.012,7.3674015684814e-07
5.024,7.5531343811322e-07
5.025,7.6769562562327e-07
5.037,7.738867193783e-07
5.049,7.9246000064338e-07
5.05,8.1103328190846e-07
5.062,8.3579765692856e-07
5.075,8.4817984443862e-07
5.087,8.6056203194867e-07
5.099,8.667531257037e-07
5.1,8.7294421945872e-07
5.112,8.9770859447883e-07
5.149,9.1009078198888e-07
5.15,9.1628187574391e-07
