lat,cdf
3.95,1.6747742067321e-08
3.975,2.5121613100982e-08
4.038,3.3495484134642e-08
4.062,5.8617097235624e-08
4.063,6.6990968269284e-08
4.087,8.3738710336605e-08
4.125,9.2112581370266e-08
4.137,1.0048645240393e-07
4.138,1.0886032343759e-07
4.15,1.2560806550491e-07
4.163,1.4235580757223e-07
4.175,1.5072967860589e-07
4.2,1.6747742067321e-07
4.225,1.7585129170687e-07
4.238,1.9259903377419e-07
4.25,2.0934677584151e-07
4.262,2.1772064687517e-07
4.275,2.3446838894249e-07
4.287,2.4284225997615e-07
4.3,2.5959000204348e-07
4.312,2.763377441108e-07
4.337,2.8471161514446e-07
4.338,2.9308548617812e-07
4.35,3.182070992791e-07
4.363,3.2658097031276e-07
4.375,3.3495484134642e-07
4.387,3.600764544474e-07
4.388,3.8519806754838e-07
4.4,4.019458096157e-07
4.463,4.1869355168303e-07
4.475,4.2706742271669e-07
4.5,4.3544129375035e-07
4.513,4.4381516478401e-07
4.525,4.6893677788499e-07
4.55,5.0243226201963e-07
4.563,5.1080613305329e-07
4.575,5.1918000408695e-07
4.587,5.2755387512061e-07
4.588,5.4430161718793e-07
4.6,5.7779710132258e-07
4.612,5.945448433899e-07
4.613,6.0291871442356e-07
4.625,6.1966645649088e-07
4.637,6.364141985582e-07
4.638,6.6990968269284e-07
4.65,7.0340516682748e-07
4.662,7.201529088948e-07
4.663,7.5364839302945e-07
4.675,8.0389161923141e-07
4.687,8.1226549026507e-07
4.688,8.2901323233239e-07
4.7,8.5413484543337e-07
4.712,8.6250871646703e-07
4.713,8.7925645853435e-07
4.725,8.9600420060167e-07
4.737,9.0437807163533e-07
4.738,9.2112581370266e-07
4.75,9.6299516887096e-07
4.762,9.7136903990462e-07
4.763,1.0048645240393e-06
4.775,1.0132383950729e-06
4.787,1.0216122661066e-06
4.788,1.0299861371402e-06
4.8,1.0467338792076e-06
4.813,1.0634816212749e-06
4.825,1.0969771054095e-06
4.837,1.1053509764432e-06
4.838,1.1220987185105e-06
4.85,1.1388464605778e-06
4.862,1.1639680736788e-06
4.863,1.1890896867798e-06
4.875,1.2309590419481e-06
4.887,1.2477067840154e-06
4.888,1.2644545260827e-06
4.9,1.2895761391837e-06
4.912,1.306323881251e-06
4.913,1.3230716233184e-06
4.925,1.3481932364193e-06
4.937,1.3733148495203e-06
4.938,1.3900625915876e-06
4.95,1.4151842046886e-06
4.962,1.4319319467559e-06
4.963,1.4654274308906e-06
4.975,1.4905490439916e-06
4.987,1.4989229150252e-06
4.988,1.5240445281262e-06
5,1.5659138832945e-06
5.012,1.5826616253618e-06
5.013,1.5910354963955e-06
5.025,1.6077832384628e-06
5.037,1.6245309805301e-06
5.038,1.6412787225975e-06
5.05,1.6915219487994e-06
5.062,1.7082696908667e-06
5.063,1.7166435619004e-06
5.087,1.7333913039677e-06
5.1,1.750139046035e-06
