lat,cdf
3.949,7.4837070156543e-09
3.962,1.4967414031309e-08
4.062,2.2451121046963e-08
4.087,2.9934828062617e-08
4.099,4.4902242093926e-08
4.1,5.238594910958e-08
4.112,7.4837070156543e-08
4.124,8.2320777172197e-08
4.149,1.0477189821916e-07
4.174,1.1225560523481e-07
4.199,1.4219043329743e-07
4.225,1.4967414031309e-07
4.274,1.5715784732874e-07
4.275,1.6464155434439e-07
4.287,1.796089683757e-07
4.299,1.8709267539136e-07
4.387,1.9457638240701e-07
4.399,2.0954379643832e-07
4.4,2.3199491748528e-07
4.412,2.3947862450094e-07
4.425,2.4696233151659e-07
4.437,2.7689715957921e-07
4.449,2.9934828062617e-07
4.45,3.2179940167313e-07
4.462,3.5173422973575e-07
4.487,3.7418535078271e-07
4.499,3.9663647182968e-07
4.5,4.1160388586099e-07
4.512,4.1908759287664e-07
4.524,4.2657129989229e-07
4.525,4.3405500690795e-07
4.537,4.415387139236e-07
4.549,4.4902242093926e-07
4.55,4.5650612795491e-07
4.562,4.8644095601753e-07
4.574,4.9392466303318e-07
4.587,5.0140837004884e-07
4.599,5.0889207706449e-07
4.612,5.4631061214276e-07
4.624,5.5379431915842e-07
4.637,5.6876173318972e-07
4.649,5.7624544020538e-07
4.65,5.8372914722103e-07
4.662,5.9121285423669e-07
4.674,6.1366397528365e-07
4.675,6.2863138931496e-07
4.687,6.5108251036192e-07
4.699,6.5856621737758e-07
4.7,6.7353363140888e-07
4.712,7.034684594715e-07
4.724,7.2591958051846e-07
4.725,7.6333811559674e-07
4.737,8.0824035769066e-07
4.75,8.2320777172197e-07
4.762,8.5314259978459e-07
4.774,8.7559372083155e-07
4.787,9.0552854889417e-07
4.799,9.1301225590982e-07
4.8,9.2049596292548e-07
4.812,9.3546337695678e-07
4.824,9.5043079098809e-07
4.825,9.7288191203506e-07
4.837,9.9533303308202e-07
4.849,1.0028167400977e-06
4.85,1.017784154129e-06
4.887,1.0327515681603e-06
4.899,1.0477189821916e-06
4.9,1.0552026892073e-06
4.912,1.0851375172699e-06
4.924,1.1150723453325e-06
4.925,1.1375234663794e-06
4.937,1.1524908804108e-06
4.95,1.1599745874264e-06
4.962,1.189909415489e-06
4.999,1.1973931225047e-06
5.025,1.2048768295203e-06
5.037,1.212360536536e-06
5.062,1.2273279505673e-06
5.074,1.2497790716143e-06
5.075,1.2647464856456e-06
5.087,1.3096487277395e-06
5.099,1.3320998487865e-06
5.1,1.3545509698334e-06
5.112,1.4443554540213e-06
5.124,1.4892576961152e-06
5.125,1.5266762311935e-06
5.137,1.5491273522404e-06
5.149,1.5640947662717e-06
5.15,1.5940295943344e-06
5.162,1.6389318364283e-06
5.174,1.6688666644909e-06
5.175,1.6988014925535e-06
5.187,1.7811222697257e-06
5.199,1.8110570977883e-06
5.2,1.818540804804e-06
5.212,1.8335082188353e-06
5.224,1.840991925851e-06
5.225,1.8484756328666e-06
5.237,1.8634430468979e-06
5.25,1.8858941679449e-06
5.262,1.9083452889918e-06
5.274,1.9382801170545e-06
5.275,1.9532475310858e-06
5.287,2.0056334801953e-06
5.299,2.0280846012423e-06
5.3,2.0804705503519e-06
5.312,2.1478239134928e-06
5.324,2.1627913275241e-06
5.325,2.1702750345397e-06
5.337,2.2525958117119e-06
5.349,2.2750469327589e-06
5.35,2.2974980538059e-06
5.362,2.3424002958998e-06
5.374,2.3798188309781e-06
5.375,2.4471721941189e-06
5.387,2.5818789204007e-06
5.399,2.6118137484633e-06
5.4,2.6342648695103e-06
5.412,2.7390367677295e-06
5.424,2.7689715957921e-06
5.425,2.791422716839e-06
5.437,2.9261294431208e-06
5.449,2.9785153922304e-06
5.45,3.0234176343243e-06
5.462,3.1281895325435e-06
5.474,3.1506406535905e-06
5.475,3.1955428956844e-06
5.487,3.2928310868879e-06
5.499,3.3377333289818e-06
5.5,3.4350215201853e-06
5.512,3.5472771254201e-06
5.524,3.614630488561e-06
5.525,3.6670164376706e-06
5.537,3.8166905779837e-06
5.549,3.9439135972498e-06
5.55,4.0711366165159e-06
5.562,4.3779686041578e-06
5.574,4.5276427444708e-06
5.575,4.609963521643e-06
5.587,4.9392466303318e-06
5.599,5.1113718916919e-06
5.6,5.2984645670832e-06
5.612,5.8073566441477e-06
5.624,6.1291560458209e-06
5.625,6.3985694983844e-06
5.637,6.9074615754489e-06
5.649,7.251712098169e-06
5.65,7.5585440858108e-06
5.662,8.3069147873762e-06
5.674,8.7260023802529e-06
5.675,9.26482928538e-06
5.687,1.0544543185057e-05
5.699,1.1150723453325e-05
5.7,1.1734452600546e-05
5.712,1.332848219488e-05
5.724,1.4136722552571e-05
5.725,1.5117088171622e-05
5.737,1.7481939588568e-05
5.749,1.8836490558402e-05
5.75,2.0108720751063e-05
5.762,2.2862724932824e-05
5.774,2.4404368578049e-05
5.775,2.6125621191649e-05
5.787,2.9710316852147e-05
5.799,3.1768336281452e-05
5.8,3.4020932093164e-05
5.812,3.9079918035747e-05
5.824,4.198359635782e-05
5.825,4.4909725800941e-05
5.837,5.1689964357124e-05
5.849,5.5618910540343e-05
5.85,5.9555340430577e-05
5.862,6.8101733842454e-05
5.874,7.3190654613099e-05
5.875,7.8481635473166e-05
5.887,9.0380729628057e-05
5.899,9.7265740082459e-05
5.9,0.00010415823424388
5.912,0.00012007607906617
